Epoch 0078 | 1 Batch Loss: -0.861 | Epoch Avg Loss: -0.878
Epoch 0079 | 1 Batch Loss: -0.850 | Epoch Avg Loss: -0.880
Epoch 0080 | 1 Batch Loss: -0.901 | Epoch Avg Loss: -0.879
Epoch 0081 | 1 Batch Loss: -0.889 | Epoch Avg Loss: -0.879
Epoch 0082 | 1 Batch Loss: -0.868 | Epoch Avg Loss: -0.880
Epoch 0083 | 1 Batch Loss: -0.866 | Epoch Avg Loss: -0.882
Epoch 0084 | 1 Batch Loss: -0.859 | Epoch Avg Loss: -0.881
Epoch 0085 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.881
Epoch 0086 | 1 Batch Loss: -0.876 | Epoch Avg Loss: -0.879
Epoch 0087 | 1 Batch Loss: -0.862 | Epoch Avg Loss: -0.885
Epoch 0088 | 1 Batch Loss: -0.821 | Epoch Avg Loss: -0.881
Epoch 0089 | 1 Batch Loss: -0.884 | Epoch Avg Loss: -0.887
Epoch 0090 | 1 Batch Loss: -0.888 | Epoch Avg Loss: -0.881
Epoch 0091 | 1 Batch Loss: -0.874 | Epoch Avg Loss: -0.895
Epoch 0092 | 1 Batch Loss: -0.908 | Epoch Avg Loss: -0.894
Epoch 0093 | 1 Batch Loss: -0.924 | Epoch Avg Loss: -0.894
Epoch 0094 | 1 Batch Loss: -0.902 | Epoch Avg Loss: -0.895
Epoch 0095 | 1 Batch Loss: -0.887 | Epoch Avg Loss: -0.893
Epoch 0096 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.893
Epoch 0097 | 1 Batch Loss: -0.898 | Epoch Avg Loss: -0.898
Epoch 0098 | 1 Batch Loss: -0.882 | Epoch Avg Loss: -0.897
Epoch 0099 | 1 Batch Loss: -0.899 | Epoch Avg Loss: -0.901
Epoch 0100 | 1 Batch Loss: -0.906 | Epoch Avg Loss: -0.904
Epoch 0101 | 1 Batch Loss: -0.895 | Epoch Avg Loss: -0.903
Epoch 0102 | 1 Batch Loss: -0.912 | Epoch Avg Loss: -0.907
Epoch 0103 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.897
Epoch 0104 | 1 Batch Loss: -0.904 | Epoch Avg Loss: -0.907
Epoch 0105 | 1 Batch Loss: -0.909 | Epoch Avg Loss: -0.903
Epoch 0106 | 1 Batch Loss: -0.914 | Epoch Avg Loss: -0.906
Epoch 0107 | 1 Batch Loss: -0.922 | Epoch Avg Loss: -0.905
Epoch 0108 | 1 Batch Loss: -0.891 | Epoch Avg Loss: -0.908
Epoch 0109 | 1 Batch Loss: -0.896 | Epoch Avg Loss: -0.907
Epoch 0110 | 1 Batch Loss: -0.899 | Epoch Avg Loss: -0.905
Epoch 0111 | 1 Batch Loss: -0.912 | Epoch Avg Loss: -0.904
Epoch 0112 | 1 Batch Loss: -0.916 | Epoch Avg Loss: -0.914
Epoch 0113 | 1 Batch Loss: -0.897 | Epoch Avg Loss: -0.907
Epoch 0114 | 1 Batch Loss: -0.913 | Epoch Avg Loss: -0.910
Epoch 0115 | 1 Batch Loss: -0.888 | Epoch Avg Loss: -0.912
Epoch 0116 | 1 Batch Loss: -0.919 | Epoch Avg Loss: -0.910
Epoch 0117 | 1 Batch Loss: -0.906 | Epoch Avg Loss: -0.909
Epoch 0118 | 1 Batch Loss: -0.905 | Epoch Avg Loss: -0.908
Epoch 0119 | 1 Batch Loss: -0.917 | Epoch Avg Loss: -0.906
Epoch 0120 | 1 Batch Loss: -0.926 | Epoch Avg Loss: -0.906
Epoch 0121 | 1 Batch Loss: -0.890 | Epoch Avg Loss: -0.910
Epoch 0122 | 1 Batch Loss: -0.907 | Epoch Avg Loss: -0.908
Epoch 0123 | 1 Batch Loss: -0.901 | Epoch Avg Loss: -0.911
Epoch 0124 | 1 Batch Loss: -0.885 | Epoch Avg Loss: -0.912
Epoch 0125 | 1 Batch Loss: -0.939 | Epoch Avg Loss: -0.915
Epoch 0126 | 1 Batch Loss: -0.892 | Epoch Avg Loss: -0.918
Epoch 0127 | 1 Batch Loss: -0.900 | Epoch Avg Loss: -0.912
Epoch 0128 | 1 Batch Loss: -0.936 | Epoch Avg Loss: -0.920
Epoch 0129 | 1 Batch Loss: -0.911 | Epoch Avg Loss: -0.917
Epoch 0130 | 1 Batch Loss: -0.908 | Epoch Avg Loss: -0.902
Epoch 0131 | 1 Batch Loss: -0.917 | Epoch Avg Loss: -0.915
Epoch 0132 | 1 Batch Loss: -0.919 | Epoch Avg Loss: -0.916
Epoch 0133 | 1 Batch Loss: -0.907 | Epoch Avg Loss: -0.918
Epoch 0134 | 1 Batch Loss: -0.931 | Epoch Avg Loss: -0.915
Epoch 0135 | 1 Batch Loss: -0.907 | Epoch Avg Loss: -0.919
Epoch 0136 | 1 Batch Loss: -0.924 | Epoch Avg Loss: -0.917
Epoch 0137 | 1 Batch Loss: -0.937 | Epoch Avg Loss: -0.917
Epoch 0138 | 1 Batch Loss: -0.940 | Epoch Avg Loss: -0.922
Epoch 0139 | 1 Batch Loss: -0.927 | Epoch Avg Loss: -0.920
Epoch 0140 | 1 Batch Loss: -0.907 | Epoch Avg Loss: -0.916
Epoch 0141 | 1 Batch Loss: -0.926 | Epoch Avg Loss: -0.919
Epoch 0142 | 1 Batch Loss: -0.920 | Epoch Avg Loss: -0.922
Epoch 0143 | 1 Batch Loss: -0.920 | Epoch Avg Loss: -0.917
Epoch 0144 | 1 Batch Loss: -0.932 | Epoch Avg Loss: -0.919
Epoch 0145 | 1 Batch Loss: -0.917 | Epoch Avg Loss: -0.923
Epoch 0146 | 1 Batch Loss: -0.903 | Epoch Avg Loss: -0.915
Epoch 0147 | 1 Batch Loss: -0.899 | Epoch Avg Loss: -0.924
Epoch 0148 | 1 Batch Loss: -0.920 | Epoch Avg Loss: -0.920
Epoch 0149 | 1 Batch Loss: -0.918 | Epoch Avg Loss: -0.925
Epoch 0150 | 1 Batch Loss: -0.948 | Epoch Avg Loss: -0.922
Epoch 0151 | 1 Batch Loss: -0.932 | Epoch Avg Loss: -0.918
Epoch 0152 | 1 Batch Loss: -0.935 | Epoch Avg Loss: -0.926
Epoch 0153 | 1 Batch Loss: -0.921 | Epoch Avg Loss: -0.920
Epoch 0154 | 1 Batch Loss: -0.922 | Epoch Avg Loss: -0.924
Epoch 0155 | 1 Batch Loss: -0.909 | Epoch Avg Loss: -0.922
Epoch 0156 | 1 Batch Loss: -0.938 | Epoch Avg Loss: -0.919
Epoch 0157 | 1 Batch Loss: -0.935 | Epoch Avg Loss: -0.917
Epoch 0158 | 1 Batch Loss: -0.842 | Epoch Avg Loss: -0.924
Epoch 0159 | 1 Batch Loss: -0.915 | Epoch Avg Loss: -0.919
Epoch 0160 | 1 Batch Loss: -0.920 | Epoch Avg Loss: -0.925
Epoch 0161 | 1 Batch Loss: -0.939 | Epoch Avg Loss: -0.923
Epoch 0162 | 1 Batch Loss: -0.929 | Epoch Avg Loss: -0.923
Epoch 0163 | 1 Batch Loss: -0.917 | Epoch Avg Loss: -0.921
Epoch 0164 | 1 Batch Loss: -0.923 | Epoch Avg Loss: -0.920
Epoch 0165 | 1 Batch Loss: -0.909 | Epoch Avg Loss: -0.928
Epoch 0166 | 1 Batch Loss: -0.912 | Epoch Avg Loss: -0.923
Epoch 0167 | 1 Batch Loss: -0.926 | Epoch Avg Loss: -0.925
Epoch 0168 | 1 Batch Loss: -0.932 | Epoch Avg Loss: -0.925
Epoch 0169 | 1 Batch Loss: -0.934 | Epoch Avg Loss: -0.925
Epoch 0170 | 1 Batch Loss: -0.910 | Epoch Avg Loss: -0.920
Epoch 0171 | 1 Batch Loss: -0.927 | Epoch Avg Loss: -0.929
Epoch 0172 | 1 Batch Loss: -0.927 | Epoch Avg Loss: -0.925
Epoch 0173 | 1 Batch Loss: -0.882 | Epoch Avg Loss: -0.928
Epoch 0174 | 1 Batch Loss: -0.927 | Epoch Avg Loss: -0.919
Epoch 0175 | 1 Batch Loss: -0.927 | Epoch Avg Loss: -0.930
Epoch 0176 | 1 Batch Loss: -0.918 | Epoch Avg Loss: -0.926
Epoch 0177 | 1 Batch Loss: -0.928 | Epoch Avg Loss: -0.931
Epoch 0178 | 1 Batch Loss: -0.912 | Epoch Avg Loss: -0.928
